N°;Type;Sous-Type;Réf Auto;Des Auto;PU HT;Année;Geographie;Poids
180;Colis;Affranchissement Colis 500g France;25COLI180;AFFRANCHISSEMENT COLIS 500G FRANCE TARIF 2025;7,35;2025;France;500g
181;Colis;Affranchissement Colis 750g France;25COLI181;AFFRANCHISSEMENT COLIS 750G FRANCE TARIF 2025;8,65;2025;France;750g
182;Colis;Affranchissement Colis 1kg France;25COLI182;AFFRANCHISSEMENT COLIS 1KG FRANCE TARIF 2025;9,4;2025;France;1kg
183;Colis;Affranchissement Colis 2kg France;25COLI183;AFFRANCHISSEMENT COLIS 2KG FRANCE TARIF 2025;10,7;2025;France;2kg
184;Colis;Affranchissement Colis 5kg France;25COLI184;AFFRANCHISSEMENT COLIS 5KG FRANCE TARIF 2025;16,6;2025;France;5kg
185;Colis;Affranchissement Colis 10kg France;25COLI185;AFFRANCHISSEMENT COLIS 10KG FRANCE TARIF 2025;24,2;2025;France;10kg
186;Colis;Affranchissement Colis 15kg France;25COLI186;AFFRANCHISSEMENT COLIS 15KG FRANCE TARIF 2025;30,55;2025;France;15kg
187;Colis;Affranchissement Colis 30kg France;25COLI187;AFFRANCHISSEMENT COLIS 30KG FRANCE TARIF 2025;37,85;2025;France;30kg
188;Colis;Affranchissement Colis 500g Europe;25COLI188;AFFRANCHISSEMENT COLIS 500G EUROPE TARIF 2025;14,85;2025;Europe;500g
189;Colis;Affranchissement Colis 1kg Europe;25COLI189;AFFRANCHISSEMENT COLIS 1KG EUROPE TARIF 2025;18,45;2025;Europe;1kg
190;Colis;Affranchissement Colis 2kg Europe;25COLI190;AFFRANCHISSEMENT COLIS 2KG EUROPE TARIF 2025;20,9;2025;Europe;2kg
191;Colis;Affranchissement Colis 5kg Europe;25COLI191;AFFRANCHISSEMENT COLIS 5KG EUROPE TARIF 2025;26,8;2025;Europe;5kg
192;Colis;Affranchissement Colis 10kg Europe;25COLI192;AFFRANCHISSEMENT COLIS 10KG EUROPE TARIF 2025;44,2;2025;Europe;10kg
193;Colis;Affranchissement Colis 15kg Europe;25COLI193;AFFRANCHISSEMENT COLIS 15KG EUROPE TARIF 2025;64,8;2025;Europe;15kg
194;Colis;Affranchissement Colis 30kg Europe;25COLI194;AFFRANCHISSEMENT COLIS 30KG EUROPE TARIF 2025;84;2025;Europe;30kg
195;Colis;Affranchissement Colis 500g Monde_B;25COLI195;AFFRANCHISSEMENT COLIS 500G MONDE_B TARIF 2025;22,7;2025;Monde_B;500g
196;Colis;Affranchissement Colis 1kg Monde_B;25COLI196;AFFRANCHISSEMENT COLIS 1KG MONDE_B TARIF 2025;27,1;2025;Monde_B;1kg
197;Colis;Affranchissement Colis 2kg Monde_B;25COLI197;AFFRANCHISSEMENT COLIS 2KG MONDE_B TARIF 2025;29,65;2025;Monde_B;2kg
198;Colis;Affranchissement Colis 5kg Monde_B;25COLI198;AFFRANCHISSEMENT COLIS 5KG MONDE_B TARIF 2025;38;2025;Monde_B;5kg
199;Colis;Affranchissement Colis 10kg Monde_B;25COLI199;AFFRANCHISSEMENT COLIS 10KG MONDE_B TARIF 2025;63;2025;Monde_B;10kg
200;Colis;Affranchissement Colis 15kg Monde_B;25COLI200;AFFRANCHISSEMENT COLIS 15KG MONDE_B TARIF 2025;85,5;2025;Monde_B;15kg
201;Colis;Affranchissement Colis 20kg Monde_B;25COLI201;AFFRANCHISSEMENT COLIS 20KG MONDE_B TARIF 2025;104,5;2025;Monde_B;20kg
202;Colis;Affranchissement Colis 500g Monde_C;25COLI202;AFFRANCHISSEMENT COLIS 500G MONDE_C TARIF 2025;33,5;2025;Monde_C;500g
203;Colis;Affranchissement Colis 1kg Monde_C;25COLI203;AFFRANCHISSEMENT COLIS 1KG MONDE_C TARIF 2025;37,3;2025;Monde_C;1kg
204;Colis;Affranchissement Colis 5kg Monde_C;25COLI204;AFFRANCHISSEMENT COLIS 5KG MONDE_C TARIF 2025;51,4;2025;Monde_C;5kg
205;Colis;Affranchissement Colis 10kg Monde_C;25COLI205;AFFRANCHISSEMENT COLIS 10KG MONDE_C TARIF 2025;75;2025;Monde_C;10kg
206;Colis;Affranchissement Colis 15kg Monde_C;25COLI206;AFFRANCHISSEMENT COLIS 15KG MONDE_C TARIF 2025;142;2025;Monde_C;15kg
207;Colis;Affranchissement Colis 2kg Monde_C;25COLI207;AFFRANCHISSEMENT COLIS 2KG MONDE_C TARIF 2025;201;2025;Monde_C;2kg
208;Colis;Affranchissement Colis 20kg Monde_C;25COLI208;AFFRANCHISSEMENT COLIS 20KG MONDE_C TARIF 2025;245;2025;Monde_C;20kg
209;Timbres;Affranchissement Timbres-Divers / /;25TIMB209;AFFRANCHISSEMENT TIMBRES-DIVERS / / TARIF 2025;0;2025;/;/
210;Courrier;Affranchissement Courrier 20g Monde;25COUR210;AFFRANCHISSEMENT COURRIER 20G MONDE TARIF 2025;2,1;2025;Monde;20g
211;Courrier;Affranchissement Courrier 100g Monde;25COUR211;AFFRANCHISSEMENT COURRIER 100G MONDE TARIF 2025;4,5;2025;Monde;100g
212;Courrier;Affranchissement Courrier 250g Monde;25COUR212;AFFRANCHISSEMENT COURRIER 250G MONDE TARIF 2025;10,8;2025;Monde;250g
213;Courrier;Affranchissement Courrier 500g Monde;25COUR213;AFFRANCHISSEMENT COURRIER 500G MONDE TARIF 2025;15,5;2025;Monde;500g
214;Courrier;Affranchissement Courrier 2kg Monde;25COUR214;AFFRANCHISSEMENT COURRIER 2KG MONDE TARIF 2025;29,5;2025;Monde;2kg
